"x","y","min.cover","max.cover","mean.cover","count"
711459.642857143,4485428.57142857,7,100,72.9464285714286,56
713817.772277228,4484635.99009901,2,100,85.6534653465347,202
754289.827586207,4484201.03448276,2,100,82.0862068965517,174
730417.826086957,4498945.30434783,4,100,83.9391304347826,115
730202.542372881,4502848.47457627,2,100,78.3050847457627,59
726322.094594595,4503842.22972973,3,100,83.5472972972973,148
726691.818181818,4505691.81818182,2,100,83.6893939393939,132
695082.086330935,4480418.63309352,5,100,83.863309352518,139
679100,4484045,2,100,43.9166666666667,12
742081.578947368,4466147.36842105,4,100,59.1578947368421,19
742341.578947368,4466249.47368421,3,100,74.4035087719298,57
741022.258064516,4467139.35483871,11,100,67.1935483870968,31
741057.954545455,4467833.86363636,5,100,67.2727272727273,44
738917.419354839,4471077.09677419,2,100,60.9032258064516,31
747446.274509804,4480369.21568627,2,100,78.6732026143791,153
751088.382352941,4482300,4,100,77.0441176470588,68
752226.428571429,4483176.42857143,3,100,77.5428571428571,70
752482.697368421,4483474.73684211,3,100,80.8355263157895,152
683363.75,4482785,2,100,75.9166666666667,72
712809.888268156,4484662.45810056,2,100,85.3351955307263,179
711267.894736842,4485121.05263158,5,100,83.3450292397661,171
693079.534883721,4484941.39534884,2,100,79.3023255813954,86
750091.851851852,4488134.44444444,2,100,71.679012345679,81
696039.230769231,4485703.84615385,5,100,82.5448717948718,156
751211.25,4488476.25,2,100,79.8958333333333,96
672242.941176471,4486912.35294118,2,100,72.0392156862745,51
669722.5,4487913.33333333,6,100,70.1111111111111,36
669392.222222222,4488330,3,100,67.1851851851852,27
669460.285714286,4488203.14285714,3,100,69.4,35
730628.888888889,4495598.7037037,6,100,83.3827160493827,162
730366.753246753,4497309.35064935,2,100,59.5714285714286,77
730137.826086957,4496741.73913043,2,100,85.1400966183575,207
730111.621621622,4499034.05405405,4,100,82.5405405405405,111
730123.29113924,4499607.34177215,4,100,82.8607594936709,79
729988.579881657,4500904.43786982,2,100,85.4852071005917,169
729995.707964602,4500293.76106195,3,100,88.7743362831858,226
659041.034482759,4499972.06896552,4,100,60.1724137931034,29
659128.285714286,4499833.71428571,5,100,67.7428571428571,35
730214.769230769,4503183.23076923,2,100,72.7846153846154,65
727743.617021277,4502928.93617021,3,100,79.354609929078,141
730842.857142857,4502381.8226601,2,100,86.2610837438424,203
728709.05027933,4503231.7877095,2,100,85.4692737430168,179
715342.058823529,4482778.89705882,4,100,83.0808823529412,136
727184.331983806,4505288.25910931,3,100,86.4858299595142,247
684882.857142857,4482060.90225564,2,100,79.812030075188,133
669643.928571429,4488061.07142857,2,100,64.5,28
749136.428571429,4478750.35714286,2,100,73.3392857142857,56
727083.225806452,4504407.74193548,2,100,77.7956989247312,93
708051.875,4489103.125,3,100,73.4583333333333,48
749136.428571429,4478750.35714286,2,100,73.3392857142857,56
739870.285714286,4469925.85714286,2,100,82.5642857142857,140
669643.928571429,4488061.07142857,2,100,64.5,28
684882.857142857,4482060.90225564,2,100,79.812030075188,133
727184.331983806,4505288.25910931,3,100,86.4858299595142,247
715342.058823529,4482778.89705882,4,100,83.0808823529412,136
728709.05027933,4503231.7877095,2,100,85.4692737430168,179
730842.857142857,4502381.8226601,2,100,86.2610837438424,203
727743.617021277,4502928.93617021,3,100,79.354609929078,141
730214.769230769,4503183.23076923,2,100,72.7846153846154,65
659128.285714286,4499833.71428571,5,100,67.7428571428571,35
659041.034482759,4499972.06896552,4,100,60.1724137931034,29
729995.707964602,4500293.76106195,3,100,88.7743362831858,226
729988.579881657,4500904.43786982,2,100,85.4852071005917,169
730123.29113924,4499607.34177215,4,100,82.8607594936709,79
730111.621621622,4499034.05405405,4,100,82.5405405405405,111
730137.826086957,4496741.73913043,2,100,85.1400966183575,207
730366.753246753,4497309.35064935,2,100,59.5714285714286,77
730628.888888889,4495598.7037037,6,100,83.3827160493827,162
669460.285714286,4488203.14285714,3,100,69.4,35
669392.222222222,4488330,3,100,67.1851851851852,27
669556.153846154,4488156.92307692,6,68,38.2307692307692,13
669722.5,4487913.33333333,6,100,70.1111111111111,36
670818.529411765,4487275.58823529,2,100,64.5588235294118,34
670950,4487258.82352941,4,100,48.7647058823529,17
751211.25,4488476.25,2,100,79.8958333333333,96
696039.230769231,4485703.84615385,5,100,82.5448717948718,156
750091.851851852,4488134.44444444,2,100,71.679012345679,81
693079.534883721,4484941.39534884,2,100,79.3023255813954,86
711773.863636364,4484877.95454545,9,100,85.4318181818182,88
711267.894736842,4485121.05263158,5,100,83.3450292397661,171
712809.888268156,4484662.45810056,2,100,85.3351955307263,179
683363.75,4482785,2,100,75.9166666666667,72
752482.697368421,4483474.73684211,3,100,80.8355263157895,152
752226.428571429,4483176.42857143,3,100,77.5428571428571,70
751088.382352941,4482300,4,100,77.0441176470588,68
747446.274509804,4480369.21568627,2,100,78.6732026143791,153
741057.954545455,4467833.86363636,5,100,67.2727272727273,44
741022.258064516,4467139.35483871,11,100,67.1935483870968,31
742341.578947368,4466249.47368421,3,100,74.4035087719298,57
742081.578947368,4466147.36842105,4,100,59.1578947368421,19
679100,4484045,2,100,43.9166666666667,12
695082.086330935,4480418.63309352,5,100,83.863309352518,139
726691.818181818,4505691.81818182,2,100,83.6893939393939,132
726322.094594595,4503842.22972973,3,100,83.5472972972973,148
730202.542372881,4502848.47457627,2,100,78.3050847457627,59
730417.826086957,4498945.30434783,4,100,83.9391304347826,115
754289.827586207,4484201.03448276,2,100,82.0862068965517,174
713817.772277228,4484635.99009901,2,100,85.6534653465347,202
711459.642857143,4485428.57142857,7,100,72.9464285714286,56
710148.586956522,4484980.43478261,7,100,91.3315217391304,184
725880.629370629,4505256.71328671,2,100,82.4195804195804,143
726475.445026178,4504887.17277487,2,100,85.7329842931937,191
728288.644067797,4503025.42372881,2,100,69.2542372881356,59
728340,4502749.65,2,100,85.38,200
730368,4502400.46153846,2,100,80.8307692307692,130
730472.5,4502101.97368421,2,100,85.8815789473684,228
730334.736842105,4500214.73684211,3,100,69.8771929824561,57
730556.666666667,4499314.41441441,3,100,88.039039039039,333
730191.379310345,4498504.48275862,2,100,75.8505747126437,87
730192.215189873,4496241.83544304,2,100,82.9746835443038,158
730197,4495664.30769231,2,100,87,130
730512.105263158,4495094.47368421,3,100,82.9122807017544,114
730627.441253264,4494511.09660574,2,100,90.3420365535248,383
730223.5,4494665.5,5,100,83.0166666666667,120
730244.318181818,4493777.04545455,2,100,82.7840909090909,88
730337.865168539,4492621.68539326,3,100,77.8314606741573,89
712529.096385542,4491218.13253012,2,100,86.0843373493976,166
712579.390243902,4490877.43902439,2,100,79.4756097560976,82
670624,4487324.4,2,100,79.68,75
750203.47826087,4488565.10869565,2,100,77.945652173913,92
751717.415730337,4488519.1011236,3,100,80.1573033707865,89
750825,4488477.35294118,5,100,76.4117647058823,68
752026.923076923,4488516.15384615,3,100,69.4615384615385,39
753759.456521739,4488466.30434783,2,100,79.8369565217391,92
752154.453781513,4488100.33613445,2,100,81.3865546218487,119
674145.967741936,4485922.74193548,2,100,77.0483870967742,62
674374.459459459,4485821.35135135,4,100,76.4864864864865,74
694784.018691589,4486153.73831776,4,100,79.0841121495327,107
696015,4486035,20,100,87.7125,160
